"Comparison","Transition","Mean_Difference","Cohens_d","n_pairs"
"Bilateral - Unilateral","CAP4 -> CAP6",-0.0208612417984642,-0.163496516742303,20
"Bilateral - Unilateral","CAP4 -> CAP7",0.00639740886646594,0.0886800418217373,20
"Bilateral - Unilateral","CAP5 -> CAP1",0.0246893972341639,0.173426334810864,20
"Bilateral - Unilateral","CAP5 -> CAP2",0.0263334947998355,0.163346296092099,20
"Bilateral - Unilateral","CAP5 -> CAP3",-0.0362538605702959,-0.303606336261036,20
"Bilateral - Unilateral","CAP5 -> CAP4",0.000675397735159257,0.00652815225382152,20
"Bilateral - Unilateral","CAP5 -> CAP6",0.000270562770562771,0.0138086500638929,20
"Bilateral - Unilateral","CAP5 -> CAP7",-0.0157149919694254,-0.092760445137291,20
"Bilateral - Unilateral","CAP6 -> CAP1",-0.0136205899363794,-0.372635445238216,20
"Bilateral - Unilateral","CAP6 -> CAP2",0.101848787177735,0.473963905901512,20
"Bilateral - Unilateral","CAP6 -> CAP3",-0.0851626720802417,-0.440212242601076,20
"Bilateral - Unilateral","CAP6 -> CAP4",-0.000708671488470246,-0.00430993247731442,20
"Bilateral - Unilateral","CAP6 -> CAP5",-0.00235685367264315,-0.0878405665241733,20
"Bilateral - Unilateral","CAP7 -> CAP1",-0.00322248657774975,-0.0153277648237477,20
"Bilateral - Unilateral","CAP7 -> CAP2",-0.00215097402597402,-0.0715315454535444,20
"Bilateral - Unilateral","CAP7 -> CAP3",0.0226291252607042,0.277736368327453,20
"Bilateral - Unilateral","CAP7 -> CAP4",0.00485134748292643,0.0345976584621259,20
"Bilateral - Unilateral","CAP7 -> CAP5",-0.0221070121399069,-0.0991253927420852,20
