"parameter","comparison","n_pairs","statistic","p_value","p_corrected","cohens_d","significance"
"x2_mean_bar_angle_rad","ua-tDCS vs sham",20,1.37088523060483,0.186388459218673,0.55916537765602,0.306539256498288,""
"x2_mean_left_hand_speed_m_s","bi-tDCS vs sham",20,-0.420619248591263,0.678752289200241,1,-0.0940533232494946,""
"x2_mean_left_hand_speed_m_s","bi-tDCS vs ua-tDCS",20,0.370766876768266,0.714912705990341,1,0.082905994025913,""
"x2_mean_left_hand_speed_m_s","ua-tDCS vs sham",20,-0.681215976419399,0.50395372814348,1,-0.152324523063267,""
"x2_mean_movement_time_s","bi-tDCS vs sham",20,-0.470046333505458,0.643672162383205,1,-0.105105555429274,""
"x2_mean_movement_time_s","bi-tDCS vs ua-tDCS",20,-0.911167244166157,0.373623086383095,1,-0.203743189682667,""
"x2_mean_movement_time_s","ua-tDCS vs sham",20,0.573936839213314,0.572742879063748,1,0.128336178727234,""
"x2_mean_right_hand_speed_m_s","bi-tDCS vs sham",20,-0.346979243211675,0.732420501035292,1,-0.0775869174602737,""
"x2_mean_right_hand_speed_m_s","bi-tDCS vs ua-tDCS",20,0.363816511785314,0.720011981131356,1,0.0813518451688815,""
"x2_mean_right_hand_speed_m_s","ua-tDCS vs sham",20,-0.682064578449596,0.503428913361623,1,-0.152514276245804,""
"x2_norm_absolute_hand_speed_diff","bi-tDCS vs sham",20,-1.76917551410815,0.0929143930181378,0.278743179054413,-0.395599671367396,"."
"x2_norm_absolute_hand_speed_diff","bi-tDCS vs ua-tDCS",20,0.0110510861292913,0.991297902424475,1,0.00247109798103004,""
"x2_norm_absolute_hand_speed_diff","ua-tDCS vs sham",20,-1.93977147977766,0.0673994103970785,0.202198231191235,-0.43374608895982,"."
"x2_right_hand_speed_maxima","bi-tDCS vs sham",20,-1.11603492672099,0.27832347427952,0.834970422838559,-0.249552996141214,""
"x2_right_hand_speed_maxima","bi-tDCS vs ua-tDCS",20,-0.0379672559712334,0.970109878385213,1,-0.00848973652708127,""
"x2_right_hand_speed_maxima","ua-tDCS vs sham",20,-1.08579463152878,0.291154453091523,0.87346335927457,-0.242791060570269,""
"x2_stdev_bar_angle_rad","bi-tDCS vs sham",20,-1.11553402739378,0.278532568631319,0.835597705893957,-0.249440991646662,""
"x2_stdev_bar_angle_rad","bi-tDCS vs ua-tDCS",20,1.12042207991821,0.276497041645025,0.829491124935076,0.250533993418882,""
"x2_stdev_bar_angle_rad","ua-tDCS vs sham",20,-1.44825523785053,0.163847719773341,0.491543159320024,-0.323839716060391,""
"x2_targets_completed","bi-tDCS vs sham",20,0.878838849606249,0.390467985650203,1,0.196514340898729,""
"x2_targets_completed","bi-tDCS vs ua-tDCS",20,1.11683378088514,0.277990241148641,0.833970723445923,0.249731625362729,""
"x2_targets_completed","ua-tDCS vs sham",20,-0.634811054272738,0.533122185773498,1,-0.141948067022215,""
"x3_bar_length_variability","bi-tDCS vs sham",20,-1.59074148079957,0.128169073418374,0.384507220255122,-0.35570060856965,""
"x3_bar_length_variability","bi-tDCS vs ua-tDCS",20,-1.00231130518729,0.328788323330751,0.986364969992252,-0.224123621301532,""
"x3_bar_length_variability","ua-tDCS vs sham",20,-1.13074196591403,0.272235574053374,0.816706722160121,-0.252841590079551,""
"x3_drops","bi-tDCS vs sham",20,-0.498363334397601,0.623947852680066,1,-0.11143742932065,""
"x3_drops","bi-tDCS vs ua-tDCS",20,0.669939473115143,0.510957170673545,1,0.149803020269585,""
"x3_drops","ua-tDCS vs sham",20,-1.29099444873581,0.212193258284486,0.636579774853459,-0.288675134594813,""
"x3_drops_targets","bi-tDCS vs sham",20,-0.920678938711143,0.3687607736457,1,-0.205870069241048,""
"x3_drops_targets","bi-tDCS vs ua-tDCS",20,0.128125851180246,0.899395818807851,1,0.0286498112914052,""
"x3_drops_targets","ua-tDCS vs sham",20,-1.13668919929017,0.269801897710412,0.809405693131236,-0.254171431890262,""
"x3_hand_path_bias","bi-tDCS vs sham",20,0.0892906191865796,0.929785456627188,1,0.0199659894254239,""
"x3_hand_path_bias","bi-tDCS vs ua-tDCS",20,-1.16434827968517,0.258695285896724,0.776085857690171,-0.260356190286097,""
"x3_hand_path_bias","ua-tDCS vs sham",20,1.52866783030692,0.142824701890656,0.428474105671969,0.341820518358338,""
"x3_hand_speed_diff_m_s","bi-tDCS vs sham",19,0.657298024283355,0.519306523848218,1,0.150794508612636,""
"x3_hand_speed_diff_m_s","bi-tDCS vs ua-tDCS",19,0.824610535764948,0.420386487669825,1,0.189178631219913,""
"x3_hand_speed_diff_m_s","ua-tDCS vs sham",19,-0.243066397302699,0.810702316554002,1,-0.0557632559164722,""
"x3_hand_speed_peak_bias","bi-tDCS vs sham",20,0.101546759228539,0.920180430488875,1,0.0227065456529816,""
"x3_hand_speed_peak_bias","bi-tDCS vs ua-tDCS",20,0.369230464035079,0.716038752965327,1,0.0825624416946227,""
"x3_hand_speed_peak_bias","ua-tDCS vs sham",20,-0.20526581654899,0.839547592892533,1,-0.0458988319260544,""
"x3_left_hand_speed_maxima","bi-tDCS vs sham",20,-0.141569839198735,0.888910090180423,1,-0.0316559784012085,""
"x3_left_hand_speed_maxima","bi-tDCS vs ua-tDCS",20,-1.170394577685,0.256313577595174,0.768940732785521,-0.261708183620081,""
"x3_left_hand_speed_maxima","ua-tDCS vs sham",20,0.867542354744835,0.396470002556727,1,0.193988367856969,""
"x3_mean_bar_angle_rad","bi-tDCS vs sham",20,0.229602990742693,0.820853918679486,1,0.0513407895137917,""
"x3_mean_bar_angle_rad","bi-tDCS vs ua-tDCS",20,0.468967147410943,0.644429392959883,1,0.104864242082503,""
"x3_mean_bar_angle_rad","ua-tDCS vs sham",20,-0.394792329166674,0.69739294199553,1,-0.0882782485012157,""
"x3_mean_left_hand_speed_m_s","bi-tDCS vs sham",20,0.522506422036214,0.607357180681393,1,0.116835987835317,""
"x3_mean_left_hand_speed_m_s","bi-tDCS vs ua-tDCS",20,1.34781789405901,0.193569056434174,0.580707169302523,0.301381243240657,""
"x3_mean_left_hand_speed_m_s","ua-tDCS vs sham",20,-0.877010024477004,0.391435605428603,1,-0.196105403167933,""
"x3_mean_movement_time_s","bi-tDCS vs sham",20,-1.47418680023661,0.156808083026293,0.47042424907888,-0.329638189686195,""
"x3_mean_movement_time_s","bi-tDCS vs ua-tDCS",20,-2.11410401774762,0.047954199777203,0.143862599331609,-0.47272802951891,"*"
"x3_mean_movement_time_s","ua-tDCS vs sham",20,1.29451411028524,0.21100035394131,0.633001061823929,0.289462154843046,""
"x3_mean_right_hand_speed_m_s","bi-tDCS vs sham",20,0.61585562097536,0.545297575265161,1,0.137709503282625,""
"x3_mean_right_hand_speed_m_s","bi-tDCS vs ua-tDCS",20,1.19816220082765,0.24558671074591,0.736760132237729,0.267917212912137,""
"x3_mean_right_hand_speed_m_s","ua-tDCS vs sham",20,-0.659428320013988,0.517534474066393,1,-0.147452654983976,""
"x3_norm_absolute_hand_speed_diff","bi-tDCS vs sham",20,-0.213858671288441,0.832935517612102,1,-0.0478202526578737,""
"x3_norm_absolute_hand_speed_diff","bi-tDCS vs ua-tDCS",20,-0.68056989562736,0.504353503508521,1,-0.152180055006271,""
"x3_norm_absolute_hand_speed_diff","ua-tDCS vs sham",20,0.501197835242497,0.621989084975119,1,0.112071242977796,""
"x3_right_hand_speed_maxima","bi-tDCS vs sham",20,-0.229693783726802,0.820784377420521,1,-0.0513610914422265,""
"x3_right_hand_speed_maxima","bi-tDCS vs ua-tDCS",20,-0.96605711730265,0.346152087034786,1,-0.216016938443621,""
"x3_right_hand_speed_maxima","ua-tDCS vs sham",20,0.753883799116604,0.460160497470783,1,0.168573542196052,""
"x3_stdev_bar_angle_rad","bi-tDCS vs sham",20,-0.438740841029723,0.665797729906822,1,-0.098105434504789,""
"x3_stdev_bar_angle_rad","bi-tDCS vs ua-tDCS",20,-0.344394028501023,0.734332535305286,1,-0.0770088458773286,""
"x3_stdev_bar_angle_rad","ua-tDCS vs sham",20,-0.0431421548038207,0.966038385074087,1,-0.00964687908371622,""
"x3_targets_completed","bi-tDCS vs sham",20,1,0.329876800921125,0.989630402763375,0.223606797749979,""
"x3_targets_completed","bi-tDCS vs ua-tDCS",20,0.772819195440217,0.449137251927278,1,0.172807625532102,""
"x3_targets_completed","ua-tDCS vs sham",20,-0.0466279079887786,0.963296405520982,1,-0.0104263171911514,""
