"parameter","comparison","n_pairs","statistic","p_value","p_corrected","cohens_d","significance"
"RH_false_starts","bi-tDCS vs sham",19,0.28560636718892,0.778440262887593,0.923133395353753,0.0655225943267511,""
"RH_false_starts","bi-tDCS vs ua-tDCS",19,0.506189448731517,0.618867128101777,0.923133395353753,0.116127823858276,""
"RH_false_starts","ua-tDCS vs sham",19,-0.0978492109580163,0.923133395353753,0.923133395353753,-0.0224481485405887,""
"RH_initial_direction_angle_rad","bi-tDCS vs sham",20,-0.310320849120353,0.75969524330454,0.841210369293337,-0.0693898513468565,""
"RH_initial_direction_angle_rad","bi-tDCS vs ua-tDCS",20,-0.52209071103186,0.607641043571476,0.841210369293337,-0.116743032028844,""
"RH_initial_direction_angle_rad","ua-tDCS vs sham",20,0.203107450804048,0.841210369293337,0.841210369293337,0.0454162066734545,""
"RH_initial_distance_ratio","bi-tDCS vs sham",20,-0.551868718691273,0.587471381682042,0.881207072523063,-0.12340159696494,""
"RH_initial_distance_ratio","bi-tDCS vs ua-tDCS",20,0.0206512195547859,0.983739215238273,0.983739215238273,0.00461775307427743,""
"RH_initial_distance_ratio","ua-tDCS vs sham",20,-0.804736484737473,0.430927074784102,0.881207072523063,-0.179944548384721,""
"RH_initial_speed_ratio","bi-tDCS vs sham",20,-2.06613598039267,0.0527239969001534,0.15817199070046,-0.462002050291618,"."
"RH_initial_speed_ratio","bi-tDCS vs ua-tDCS",20,-0.677366604616729,0.506338270591507,0.506338270591507,-0.151463777361123,""
"RH_initial_speed_ratio","ua-tDCS vs sham",20,-1.14666193637728,0.265757193653206,0.398635790479809,-0.256401403695115,""
"RH_movement_time_s","bi-tDCS vs sham",20,1.6097245936879,0.12394721467639,0.341321564774187,0.359945361653938,""
"RH_movement_time_s","bi-tDCS vs ua-tDCS",20,1.21436046043094,0.239488164219793,0.341321564774187,0.271539253871152,""
"RH_movement_time_s","ua-tDCS vs sham",20,0.976013807194605,0.341321564774187,0.341321564774187,0.218243321986551,""
"RH_path_length_ratio","bi-tDCS vs sham",20,0.150495447226206,0.881959961431994,0.881959961431994,0.0336518050302028,""
"RH_path_length_ratio","bi-tDCS vs ua-tDCS",20,-1.3537239162841,0.1917099810412,0.2875649715618,-0.302701869957848,""
"RH_path_length_ratio","ua-tDCS vs sham",20,1.95176493269243,0.0658646838037443,0.197594051411233,0.436427906560057,"."
"RH_posture_speed_m_s","bi-tDCS vs sham",20,0.863223593939844,0.398780454784865,0.835631996879223,0.193022663583117,""
"RH_posture_speed_m_s","bi-tDCS vs ua-tDCS",20,0.210352442785301,0.835631996879223,0.835631996879223,0.0470362361301067,""
"RH_posture_speed_m_s","ua-tDCS vs sham",20,0.589111226574816,0.562726309035794,0.835631996879223,0.131729274892957,""
"RH_reaction_time_s","bi-tDCS vs sham",20,0.596195099299302,0.558081723201332,0.837122584801998,0.133313276988548,""
"RH_reaction_time_s","bi-tDCS vs ua-tDCS",20,0.713948765662701,0.483937929441578,0.837122584801998,0.159643797247387,""
"RH_reaction_time_s","ua-tDCS vs sham",20,0.0560080702748025,0.955920165333064,0.955920165333064,0.0125237852423044,""
"RH_speed_maxima_count","bi-tDCS vs sham",20,0.546550543333097,0.591048937911931,0.886573406867896,0.122212416803225,""
"RH_speed_maxima_count","bi-tDCS vs ua-tDCS",20,-0.0577676960727964,0.954536889180575,0.954536889180575,-0.012917249532232,""
"RH_speed_maxima_count","ua-tDCS vs sham",20,0.703762689046592,0.490116283381626,0.886573406867896,0.157366121273623,""
