"task","metric","parameter","correlation","p_value","r_squared","n_obs","sig"
"APM","Dwell_Time","LH_variability_x_m",0.183458646616541,0.437084141438558,0.033657075018373,20,""
"BOB","Occurrence","x1_hand_speed_diff_m_s",0.188762144743738,0.438970276179434,0.0356311472882558,19,""
"OH","Dwell_Time","hits_with_right",-0.188132322503441,0.440527046129859,0.0353937707705387,19,""
"VGR","Dwell_Time","LH_movement_time_s",0.181954887218045,0.440913256613503,0.0331075809825315,20,""
"BOB","Dwell_Time","x2_bar_length_variability",-0.181954887218045,0.440913256613503,0.0331075809825315,20,""
"APM","Occurrence","LH_abs_error_x_m",-0.182160447314346,0.442097011443566,0.0331824285657626,20,""
"OH","transition_probability","median_error",0.179419537811709,0.44911131168069,0.0321913705485672,20,""
"OH","transition_probability","movement_area_bias",-0.17695803200543,0.455459400681475,0.0313141450912349,20,""
"BOB","Dwell_Time","x1_mean_movement_time_s",-0.172932330827068,0.4642625987046,0.0299055910452824,20,""
"OH","transition_probability","hand_speed_left_m_s",0.172439954592526,0.467230297899402,0.0297355379398723,20,""
"APM","Occurrence","LH_variability_x_m",0.172374968739608,0.46740072061509,0.0297131298479809,20,""
"BOB","transition_probability","x3_mean_bar_angle_rad",0.170933928788224,0.471187865523639,0.0292184080109777,20,""
"VGR","Dwell_Time","LH_false_starts",-0.172602027165179,0.479809321295694,0.0297914597815293,19,""
"OH","Dwell_Time","hand_speed_left_m_s",0.166917293233083,0.48017992060882,0.0278613827802589,20,""
"VGR","Dwell_Time","RH_path_length_ratio",0.16390977443609,0.488241913811412,0.02686641415569,20,""
"APM","Dwell_Time","LH_abs_error_x_m",-0.160902255639098,0.49637184867269,0.0258895358697496,20,""
"APM","transition_probability","LH_contraction_expansion_ratio_y",-0.161144761060264,0.497318276076351,0.0259676340171696,20,""
"BOB","Occurrence","x3_mean_movement_time_s",-0.161084031922603,0.497482549255012,0.0259480653404423,20,""
"BOB","Occurrence","x3_targets_completed",-0.160498901437318,0.499066687151905,0.0257598973625858,20,""
"BOB","Dwell_Time","x2_left_hand_speed_maxima",0.159638735255963,0.501399873491012,0.0254845257941233,20,""
"BOB","transition_probability","x2_left_hand_speed_maxima",-0.159125188536953,0.502795372073079,0.0253208256269209,20,""
"APM","Dwell_Time","LH_shift_x_m",-0.157894736842105,0.50456898372936,0.0249307479224377,20,""
"OH","Occurrence","median_error",-0.154860587792012,0.514455890255138,0.0239818016512875,20,""
"VGR","Dwell_Time","RH_false_starts",-0.159035837661889,0.515486675921289,0.0252923976608187,19,""
"BOB","Dwell_Time","x2_hand_speed_diff_m_s",0.156140350877193,0.521808775801614,0.0243798091720529,19,""
"VGR","Occurrence","RH_false_starts",0.15503512273941,0.526241069220873,0.0240358892828239,19,""
"VGR","Dwell_Time","LH_posture_speed_m_s",-0.147368421052632,0.533776866653663,0.0217174515235457,20,""
"OH","Dwell_Time","hits_with_left",0.151275812416867,0.536440445408301,0.0228843714223831,19,""
"BOB","transition_probability","x3_targets_completed",0.144692362404716,0.542766172874319,0.0209358797382576,20,""
"BOB","Occurrence","x1_reaction_time_abs_diff_s",0.152971760076741,0.544517762630408,0.0234003593809759,18,""
"VGR","transition_probability","LH_false_starts",0.147450084840309,0.546911823783353,0.0217415275194142,19,""
"APM","transition_probability","LH_variability_y_m",0.140813412702193,0.55374928456682,0.0198284171968383,20,""
"BOB","Dwell_Time","x1_left_hand_speed_maxima",0.140654391293245,0.55420166033852,0.0197836577900734,20,""
"OH","transition_probability","movement_area_left_hand_m_2",0.140060399800043,0.555892876054381,0.0196169155921478,20,""
"APM","Occurrence","LH_shift_x_m",-0.139254887409727,0.558190004726242,0.0193919236674958,20,""
"VGR","transition_probability","LH_initial_distance_ratio",-0.138554373995741,0.560191123141697,0.0191973145533517,20,""
"BOB","Dwell_Time","x1_targets_completed",0.138146635287649,0.561357348777448,0.0190844928412986,20,""
"OH","Occurrence","movement_area_right_hand_m_2",-0.13774942916746,0.562494479645593,0.018974905235961,20,""
"VGR","Dwell_Time","RH_posture_speed_m_s",-0.136842105263158,0.563763030017002,0.0187257617728532,20,""
"BOB","Dwell_Time","x1_right_hand_speed_maxima",0.13704834819144,0.564504026411746,0.0187822497420021,20,""
"VGR","Dwell_Time","RH_reaction_time_s",-0.135440218928288,0.569125378940482,0.0183440529033427,20,""
"OH","Dwell_Time","movement_area_bias",-0.133834586466165,0.572468103237454,0.0179116965345695,20,""
"VGR","transition_probability","LH_reaction_time_s",0.132530270778535,0.577529503734425,0.0175642726726318,20,""
"APM","Occurrence","RH_contraction_expansion_ratio_x",0.131727596198391,0.579857035951876,0.0173521596002062,20,""
"VGR","transition_probability","RH_movement_time_s",0.129518219169932,0.586284269301735,0.0167749690969505,20,""
"BOB","transition_probability","x2_mean_movement_time_s",-0.129518219169932,0.586284269301735,0.0167749690969505,20,""
"VGR","transition_probability","RH_initial_distance_ratio",0.124247128854877,0.601738669554996,0.0154373490286803,20,""
"BOB","transition_probability","x3_bar_length_variability",-0.124247128854877,0.601738669554996,0.0154373490286803,20,""
"APM","transition_probability","LH_abs_error_y_m",-0.122741103050575,0.606184823887161,0.0150653783780719,20,""
"OH","Occurrence","hand_speed_right_m_s",-0.121942117623653,0.608549059927235,0.0148698800505408,20,""
"OH","Dwell_Time","median_error",-0.118931201139118,0.617491984608034,0.0141446306043934,20,""
"OH","Occurrence","hits_with_left",0.121038919979626,0.62158881709842,0.0146504201498343,19,""
"OH","Occurrence","hand_selection_overlap",-0.114414826412316,0.631003772881456,0.0130907525029605,20,""
"APM","transition_probability","LH_variability_x_m",0.112198922420464,0.637674960536054,0.0125885981923134,20,""
