"task","metric","condition","parameter","correlation","p_value","r_squared","n_obs","sig"
"OH","CAP4 Occurrence Rate","Bilateral","hand_selection_overlap",0.0883455086982521,0.727395430583782,0.00780492890715294,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_mean_left_hand_speed_m_s",0.0863882878659889,0.733224024719051,0.00746293628041697,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_mean_bar_angle_rad",-0.0860740662978903,0.734161079039468,0.00740874488905361,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hand_speed_right_m_s",0.0854821444756393,0.735927245990051,0.00730719702415408,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_contraction_expansion_ratio_x",0.0850132306496523,0.73732727902056,0.00722724938549098,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_bar_length_variability",-0.0830331355851801,0.743247870423027,0.0068945016051069,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hand_transition",0.0769313878204521,0.761577506937929,0.00591843843198081,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_contraction_expansion_ratio_y",0.0764055857240905,0.763162832517136,0.00583781352984135,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_false_starts",-0.0770488981741785,0.76881910145685,0.00593653270985493,19,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_stdev_bar_angle_rad",-0.0743774349063365,0.769286184615709,0.00553200282324632,20,""
"OH","CAP4 Occurrence Rate","Bilateral","hand_speed_right_m_s",-0.0732391309352365,0.772728653617557,0.00536397030014871,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_norm_absolute_hand_speed_diff",-0.0730867630192847,0.77318975404016,0.00534167492863708,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_norm_absolute_hand_speed_diff",0.0701757516809668,0.782012863112678,0.00492463612398871,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_shift_y_m",-0.0700673956210575,0.782341780507103,0.00490943992911778,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_targets_completed",-0.0691897098098535,0.78500730709893,0.00478721594357174,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_abs_error_x_m",-0.0687726162466768,0.786274817954423,0.00472967274541268,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_mean_movement_time_s",0.0687651722416912,0.786297444289384,0.00472864891342946,20,""
"OH","CAP4 Occurrence Rate","Bilateral","hand_speed_bias",0.0678115384885615,0.789197391683795,0.00459840475218565,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_initial_direction_angle_rad",0.0635543254038401,0.802175029954061,0.0040391522775372,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_initial_distance_ratio",0.0633251584126499,0.802875050728306,0.00401007568798721,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_norm_absolute_hand_speed_diff",0.0583408942345184,0.818134628733635,0.00340365994008326,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_drops",-0.0571916472761025,0.821662154279744,0.00327088451815413,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_movement_time_s",0.056246190423283,0.824566607214478,0.00316363393713222,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_mean_left_hand_speed_m_s",0.0549844830937673,0.828445958908684,0.00302329338108879,20,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_variability_x_m",0.0530645704781971,0.834356310413919,0.00281584864003555,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_reaction_time_s",0.0505184958729685,0.842207267914986,0.00255211842526714,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_hand_path_bias",0.0501254514127775,0.843420523016251,0.00251256087933472,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_bar_length_variability",0.0493247060691446,0.845893310245126,0.00243292662880751,20,""
"OH","CAP4 Occurrence Rate","Bilateral","hand_transition",-0.0479123754961137,0.850258066317133,0.0022955957256806,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_targets_completed",-0.0478410142010733,0.850478716839756,0.0022887626397873,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_mean_right_hand_speed_m_s",0.0463164475043265,0.855195207318037,0.00214521330942104,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_mean_bar_angle_rad",0.0426419810245267,0.866581677856386,0.0018183385456961,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_targets_completed",0.0390359848357204,0.87778033924143,0.00152380811209459,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_left_hand_speed_maxima",0.0342730791975108,0.892605440876234,0.00117464395767885,20,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_abs_error_y_m",-0.0330222665104163,0.896504561596783,0.00109047008548496,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_false_starts",-0.0336576162841197,0.897959904314732,0.00113283513392904,19,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_speed_maxima_count",0.0288308035830426,0.909586459776075,0.000831215235243984,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_initial_distance_ratio",0.0267255252777743,0.916165769077221,0.000714253701372954,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_bar_length_variability",-0.0262992017216921,0.91749873871154,0.000691648011198254,20,""
